(7.459928638552675, 13.729288212727454)
(8.541531859882086, 14.68946270957597)
(9.23056587316706, 15.875020654726173)
(9.81611136852964, 17.104471582142043)
(10.277197507219936, 18.39190647854776)
(10.744571104483736, 19.746509011688815)
(11.129272416770046, 21.173240684058765)
(11.448874049662422, 22.70765522619846)
(11.779371542063666, 24.37368909581883)
(12.11391554884548, 26.242317259752344)
(12.421107572138707, 28.063578601592006)
(12.77999025847094, 28.360701727868303)
(13.198727873471444, 28.707379441775213)
(13.198727873471444, 28.707379441775213)
(13.198727873471444, 28.707379441775213)
(14.177012594188229, 29.517312675329467)
(14.177012594188229, 29.517312675329467)
(14.177012594188229, 29.517312675329467)
(14.177012594188229, 29.517312675329467)
(15.034278656526856, 30.227053162104646)
(15.034278656526856, 30.227053162104646)
(15.034278656526856, 30.227053162104646)
(15.034278656526856, 30.227053162104646)
(15.750661869324272, 30.820155108519458)
(15.811671183930445, 30.870665425617837)
(15.872889032594768, 30.921348390474535)
(15.995956444393734, 31.023237323903295)
(16.119876466153627, 31.12583214297863)
(16.244661681824475, 31.22914326609829)
(16.370324903083624, 31.333181300198113)
(16.496879174690793, 31.43795704518552)
(16.62433777999335, 31.543481498497414)
(16.752714246586564, 31.64976585978635)
(16.882022352134115, 31.756821535739427)
(16.947030144883403, 31.810642239132484)
(17.143489877176567, 31.97329352343632)
(17.342142373359945, 32.137760222322854)
(17.47582036479579, 32.24843377733795)
(17.610510518618696, 32.35994531329833)
(17.81447766634893, 32.52881207366126)
(17.88298984067508, 32.58553409508785)
(18.090124161209022, 32.75702299444141)
(18.229565953353376, 32.87246846671795)
(18.44079942147569, 33.047351097764086)
(18.583027605430658, 33.16510345604358)
(18.726401222106304, 33.28380413131876)
(18.870938444325056, 33.403468169079474)
(19.016657810286368, 33.52411091731543)
(19.163578232980594, 33.645748034310074)
(19.311719009893682, 33.76839549667516)
(19.461099833013474, 33.89206960763517)
(19.611740799148443, 34.01678700557024)
(19.84011000339683, 34.205856510719606)
(19.993992004188023, 34.33325719872717)
(20.14920783150541, 34.46176217714068)
(20.384580870441436, 34.65663023802306)
(20.124315153287732, 31.9043558323997)
(20.267825637658845, 32.00507941635761)
(20.471361138481413, 32.08050853452622)
(20.690553095047974, 32.23362763708005)
(20.808417255066562, 32.179528332776215)
(20.940984846340918, 32.202928646223185)
(21.22299780123039, 32.3281158146449)
(21.22299780123039, 32.3281158146449)
(21.30774795421949, 32.111001586099135)
(21.498740427208602, 32.10185692699035)
(21.597481078813672, 31.96180380683742)
(21.747536425185405, 32.060336384532256)
(21.95653948660961, 32.128230582436736)
(22.127889924743684, 32.31009230228467)
(22.26282064760899, 32.32838018815013)
(22.49577689456563, 32.480613191396905)
(22.570808643148283, 32.246541658810344)
(22.84762224543005, 32.56684055546729)
(23.113131454636033, 32.30749913493065)
(23.363525270900052, 32.754625719967095)
(23.52604138348646, 32.85878885165325)
(23.52604138348646, 32.85878885165325)
(23.772399655840662, 33.016689805329825)
(23.913202957132206, 33.032483211653684)
(24.105819870240666, 33.23039226932955)
(24.248223442384237, 33.24616827659571)
(24.530802601537605, 33.502780843606374)
(24.703427260402176, 33.61342295033303)
(24.87759347298197, 33.72505310101475)
(25.053327187027282, 33.837687926611295)
(25.40605072712497, 33.827125877958736)
(28.04637767953603, 41.63372124776711)
(28.41286901669195, 41.945425750078556)
(28.611030114253627, 42.005198833610045)
(28.987179470587424, 42.32368764411187)
(28.935517601016407, 42.17035757483768)
(29.188909828979753, 42.383947223791935)
(29.445556798675923, 42.600280363143426)
(29.650028612325045, 42.66075795990612)
(29.855374816908093, 42.72084002038278)
(30.1192102724464, 42.941245154421125)
(30.38652063231746, 43.1645531839542)
(30.86959304821465, 43.45248761515877)
(30.521502921738605, 43.27731585086707)
(30.581865787972134, 43.442707128605406)
(30.446101782890878, 43.32878105473005)
(30.506139859776752, 43.494268176140295)
(30.506139859776752, 43.494268176140295)
